TAESD32,AESD32,TAESD64,AESD64,TAESE32,AESE32,TAESE64,AESE64,TCRC32,CRC32,TCRC64,CRC64,TDIJK32,DIJK32,TDIJK64,DIJK64,TFFT32,FFT32,TFFT64,FFT64,TQSORT32,QSORT32,TQSORT64,QSORT64,TSSEARCH32,SSEARCH32,TSSEARCH64,SSEARCH64,TMXM32,MXM32,TMXM64,MXM64,TSUSANC32,SUSANC32,TSUSANC64,SUSANC64,TSUSANE32,SUSANE32,TSUSANE64,SUSANE64,TSUSANS32,SUSANS32,TSUSANS64,SUSANS64
71880975,0.45636,65368476,0.34623,67336000,0.4959,48700707,0.32016,74062329,0.23136,82218108,0.19581,81234144,0.50358,84663489,0.23336,100114830,0.28763,106003083,0.3096,60301863,0.63461,39885111,0.24937,26580054,0.48371,45760338,0.19532,79927035,0.40736,48795897,0.33077,11371197,0.36448,13524996,0.19825,12418287,0.6556,32083038,0.21168,47945700,0.35694,68534796,0.24472
79199583,0.42503,68054838,0.34374,70160000,0.48996,49410624,0.32221,74382468,0.23499,83529225,0.19934,92892414,0.45266,86193042,0.23353,100214028,0.29627,109496556,0.31124,60790839,0.64559,40215771,0.25015,26582559,0.49013,45901620,0.19541,80593866,0.41464,48812430,0.33766,11716386,0.36503,14572086,0.19224,12610671,0.68203,33611589,0.21044,48250308,0.36,68758242,0.26131
80940558,0.44128,68181090,0.35213,72346000,0.49522,50374548,0.32108,74745693,0.24289,89443530,0.19084,93342312,0.46366,87466083,0.23599,104056197,0.29222,109614291,0.32044,61059876,0.66331,42666663,0.2406,27655701,0.47793,46012341,0.19554,83615397,0.42009,50085471,0.33613,12152256,0.35381,14988918,0.1953,12759468,0.71082,34045956,0.22458,50330961,0.3529,72039792,0.25869
82410993,0.45194,68208645,0.36107,75591500,0.48751,52919127,0.31194,79774731,0.23784,89895933,0.19306,98097804,0.46568,91557249,0.23233,105275130,0.29305,109973007,0.33456,62411073,0.67832,43200228,0.24547,27998886,0.47813,46217250,0.19553,87726603,0.41524,52617024,0.32962,12235923,0.35953,15400740,0.19406,14069082,0.67878,34611084,0.22534,51286869,0.34991,73514736,0.26829
83218104,0.45982,68298825,0.3672,75647500,0.49986,53376540,0.31573,88377402,0.22237,92127888,0.19429,101217030,0.46442,93136902,0.23465,106614804,0.29459,111568191,0.34315,63307362,0.68904,43345017,0.248,28364115,0.47506,46708230,0.19496,87805761,0.42484,55514808,0.31971,12357165,0.37692,15501441,0.1942,15733404,0.63864,35061984,0.22453,53311410,0.34347,74496696,0.27105
84611886,0.46914,76589373,0.3375,81971000,0.46971,55013307,0.31245,88423494,0.22601,92621874,0.20232,104464512,0.46489,100286673,0.22608,108100269,0.2965,112626804,0.34977,66338913,0.66994,43530888,0.25131,28424736,0.47962,46916646,0.19507,87929508,0.43176,56637549,0.32001,12529008,0.37907,15606651,0.19766,17702835,0.58839,35527413,0.22394,53725737,0.34904,74913027,0.2766
84859380,0.47843,77793276,0.3386,83057500,0.47854,56050377,0.31319,89376396,0.22785,94410444,0.20626,104751084,0.4749,100696992,0.23133,110719998,0.29795,114687918,0.35543,66574884,0.68461,46711737,0.24242,28807500,0.47864,47180673,0.19552,88738122,0.45387,58018806,0.32177,12703356,0.38063,16027992,0.19854,17769468,0.60527,35861580,0.22315,54149082,0.35134,77111415,0.27418
84893949,0.49114,79724631,0.33553,83298000,0.48823,57419610,0.3106,91042221,0.23054,96211539,0.20602,104814210,0.48921,104982546,0.22931,116152341,0.28983,115249539,0.36153,68446119,0.68838,48858021,0.23535,28926237,0.48152,47213238,0.1963,91273683,0.46987,60872502,0.31915,13070589,0.37667,17141715,0.19483,18189306,0.61098,36309975,0.2218,54990261,0.34949,77280753,0.28152
85443546,0.49934,80309298,0.34021,84044500,0.4938,57687645,0.317,91379394,0.23507,96830274,0.2091,105458496,0.49222,107449971,0.22885,117154341,0.29147,123022554,0.3514,68689104,0.70009,50401602,0.23265,29034453,0.48658,47332977,0.19651,95806731,0.47515,62350953,0.31569,13132212,0.37909,17142216,0.1967,18938301,0.60915,36494844,0.22187,55004289,0.35861,77720631,0.28463
87757665,0.49489,81582339,0.34173,84148500,0.50159,57791352,0.32238,94458039,0.23165,97334781,0.2112,111130317,0.4754,108524115,0.23363,119189403,0.29392,125152305,0.35794,69619962,0.70055,50986269,0.23677,29168220,0.48856,48271851,0.19449,98442492,0.47326,62420091,0.32443,13294536,0.37903,17212857,0.20598,19994409,0.58552,36532419,0.22245,56774823,0.35276,79078341,0.28392
