TQSORT_ITER,PVFQSORT_ITER,TQSORT,PVFQSORT
1110431931,0.53165,835794753,0.53182
1116179904,0.53156,836808777,0.53388
1130222934,0.5264,840234615,0.53287
1130986959,0.52777,844245621,0.53255
1133453883,0.52861,847681479,0.5329
1139976402,0.52778,848030175,0.53405
1159141656,0.52033,853182459,0.53213
1163590536,0.51957,855832248,0.53309
1165353555,0.52073,856505592,0.53501
1165500849,0.52287,861311685,0.53333
1168123584,0.52285,865887318,0.53246
1174327467,0.52246,866755551,0.53378
1174403619,0.52428,867597732,0.53502
1176565935,0.52656,867739515,0.53731
1176855012,0.52904,869031594,0.53837
1176867537,0.53201,872877270,0.53913
1178017332,0.5339,881969919,0.53508
1179220734,0.53486,883997967,0.53594
1180001292,0.53611,886019001,0.53688
1180391070,0.53795,894821571,0.53395
1181786355,0.54034,894853635,0.5368
1186078923,0.54088,899394198,0.53571
1190760768,0.54039,899578566,0.53736
1201870443,0.5376,903597588,0.53648
1205220630,0.53877,910957779,0.5342
1206467619,0.539,912491841,0.53492
1207261203,0.54039,913702257,0.53562
1207722123,0.54185,919556943,0.53461
1208761197,0.54323,919992813,0.53644
1209115905,0.54532,924169149,0.53559
1210360890,0.54601,924668145,0.53689
1210783233,0.54715,926847996,0.53768
1218016170,0.54587,931293870,0.53644
1220019168,0.54728,933515805,0.5367
1225795197,0.54588,933972717,0.53809
1227294189,0.54753,938562378,0.53765
1231041168,0.54772,942101943,0.53716
1231645875,0.54948,944186604,0.53745
1234813197,0.54954,945367461,0.53869
1240144839,0.54833,945468663,0.54079
1242712965,0.54905,946374972,0.54164
1243909353,0.55038,947752722,0.54202
1247521062,0.55051,948493701,0.54457
1250376261,0.5506,949965138,0.54591
1255031052,0.55043,950540787,0.54868
1255393275,0.55208,967764666,0.54033
1269039513,0.54842,971923968,0.54051
1269444321,0.55041,972501621,0.54166
1270237905,0.55212,972880377,0.54335
1274499411,0.55215,980261109,0.54197
1275989385,0.55424,984530631,0.54135
1286213793,0.55209,992433405,0.53878
1290295941,0.55234,999355722,0.53684
1294968267,0.55254,1001090685,0.53848
1301111028,0.55156,1003038072,0.5394
1303201701,0.55235,1016177298,0.53455
1304235765,0.55359,1025293494,0.53238
1316460165,0.55018,1031552487,0.53043
1317197136,0.55196,1036696755,0.52967
1321285296,0.55396,1042491822,0.52887
1323515748,0.55605,1047315951,0.52831
1325107926,0.55699,1048947708,0.52882
1340306262,0.5524,1050445698,0.52931
1344087309,0.55211,1052602002,0.52954
1347035193,0.55251,1057229238,0.5289
1348829274,0.55308,1062168597,0.5279
1350140391,0.55453,1067664066,0.52647
1352398899,0.55593,1071891003,0.52574
1354245084,0.5571,1079811813,0.52369
1354836264,0.55958,1081798278,0.52427
1358490057,0.55987,1087293747,0.52308
1362365793,0.56008,1087794747,0.52413
1366827198,0.55966,1095196020,0.52207
1372741002,0.55933,1100086281,0.52125
1379892777,0.55785,1105169427,0.52095
1381068123,0.55897,1109180433,0.52087
1391881206,0.55636,1113769593,0.52038
1392599640,0.55806,1118423382,0.52059
1393450839,0.55991,1122817152,0.52034
1394966865,0.56103,1125451911,0.52097
1406543973,0.55793,1130361711,0.52047
1414519893,0.55774,1136174814,0.51988
1422877575,0.5566,1139889228,0.52003
1441121991,0.55072,1145951328,0.51926
1457588358,0.54577,1146953328,0.52174
1458061302,0.54679,1148914743,0.52486
1465111374,0.5457,1150532472,0.52666
1466059767,0.54695,1153536468,0.52653
1469165466,0.54691,1155207303,0.52763
1479475545,0.54416,1155260910,0.52876
1496136300,0.53966,1160626620,0.52743
1518063567,0.53369,1163940735,0.52722
1518855147,0.53495,1164641634,0.52807
1521437802,0.53538,1165663674,0.52884
1529062521,0.53397,1168124085,0.52895
1530772434,0.53465,1168749834,0.53052
1533625128,0.53466,1170184698,0.53131
1534278933,0.53646,1171434192,0.53181
1535712795,0.53753,1177278858,0.52997
1541709765,0.53764,1177508817,0.53158
1542874590,0.5386,1181424132,0.53166
1546043415,0.53872,1182961200,0.53188
1547222268,0.53995,1185207684,0.53253
1552134573,0.54032,1187710680,0.53348
1554082962,0.54126,1199305323,0.5297
1554173643,0.54356,1202138979,0.53023
1558014309,0.54462,1204189572,0.53169
1558048878,0.54666,1206154995,0.53227
1558818915,0.54759,1212694548,0.53056
1563395049,0.54759,1215410970,0.53055
1566182613,0.54846,1218728091,0.53059
1568032806,0.54981,1221306738,0.53077
1568972682,0.55049,1222264650,0.53135
1572796815,0.55039,1225501110,0.53121
1574439093,0.55071,1230460008,0.53086
1584617910,0.54883,1234096767,0.53086
1587146958,0.54968,1238916387,0.53008
1591022694,0.54948,1239227007,0.53185
1592991624,0.55085,1240344738,0.53264
1595037708,0.5515,1241095236,0.53305
1595598828,0.55368,1243043625,0.53305
1595834799,0.55489,1246270065,0.53271
1598196012,0.55527,1247055633,0.53367
1628603205,0.54572,1249369752,0.53428
1630729449,0.54636,1249806123,0.53518
1630792074,0.54763,1249873758,0.53622
1634775024,0.54788,1252154811,0.53645
1641433815,0.54679,1253269035,0.53721
1650092598,0.54551,1256235957,0.53745
1652069544,0.54581,1257959898,0.53854
1661858082,0.5438,1263699354,0.53756
1662861585,0.54498,1266097641,0.53786
1662968298,0.54695,1266324093,0.53993
1663262385,0.54806,1268763462,0.54028
1679366028,0.54409,1271359644,0.5404
1683460701,0.54368,1275354117,0.53944
1687857477,0.54349,1279631154,0.53927
1697442108,0.54177,1282784448,0.53921
1704018234,0.54174,1283763402,0.53974
1704621939,0.54292,1283963802,0.54167
1704779754,0.54445,1291871085,0.53955
1705820832,0.54548,1293899634,0.54021
1706948082,0.54715,1295967261,0.54096
1716380910,0.54604,1296544914,0.54166
1717103352,0.54728,1301988780,0.54241
1718713566,0.54824,1303812921,0.54342
1720676484,0.5488,1303841478,0.54471
1723406934,0.54974,1306304895,0.54552
1727551206,0.54937,1309324422,0.54592
1727859822,0.55016,1320574878,0.54277
1731531150,0.55029,1323574866,0.54236
1731790167,0.55148,1325638485,0.54258
1734559695,0.55245,1332914508,0.54128
1735281636,0.55394,1339394442,0.54058
1737751065,0.55397,1344316767,0.53962
1757032551,0.54925,1350162936,0.53844
1757497980,0.55017,1378099197,0.52873
1767448341,0.54824,1378813623,0.52994
1773336093,0.54804,1378992480,0.53064
1776329067,0.54839,1385107686,0.52906
1777260927,0.5496,1392306555,0.52755
1779329055,0.55035,1396950324,0.52834
1780148691,0.5516,1397197317,0.52921
1781392173,0.55222,1402129161,0.52851
1782600084,0.55345,1403878152,0.52868
1782714312,0.55465,1403947791,0.52962
1782736356,0.55603,1404586065,0.53087
1786832532,0.55596,1405019931,0.53233
1788138639,0.55613,1408379637,0.53204
1788171705,0.55756,1415290932,0.53021
1792539924,0.55787,1428835467,0.52657
1802315937,0.55606,1428999294,0.52806
1809265308,0.55582,1429058412,0.52953
1818225192,0.5548,1439024304,0.52692
1820305344,0.55577,1440442635,0.52734
1825653519,0.55556,1440964176,0.52833
1825810332,0.55693,1445808846,0.52756
1826843895,0.55796,1446027783,0.52818
1831259709,0.5583,1450017747,0.52818
1832693571,0.55902,1450201113,0.53022
1848564249,0.55487,1455553296,0.52931
1849905426,0.55615,1460331834,0.52983
1854028155,0.55632,1464039735,0.52929
1855410915,0.55745,1464912477,0.53082
1862721507,0.55655,1465237626,0.53183
1864798653,0.5578,1467755151,0.53265
1867149345,0.55787,1474630374,0.53201
1882669323,0.55433,1476533673,0.53261
1888242447,0.55453,1480908405,0.53212
1896175281,0.55334,1484126328,0.53244
1901489388,0.55312,1484987046,0.53382
1903123650,0.55387,1489010577,0.53367
1904031462,0.55521,1489109775,0.53474
1909207293,0.55437,1489895844,0.53593
1911972813,0.55457,1489917387,0.53764
1924272864,0.55211,1489958469,0.53879
1931208207,0.55139,1495572675,0.5384
1931681151,0.55246,1498015050,0.53871
1938517797,0.55138,1500380772,0.53955
1938566895,0.55282,1505357205,0.53929
1941695640,0.55313,1510789047,0.53833
1942039326,0.55384,1511276520,0.53941
1946974176,0.55317,1513301562,0.53922
1948067358,0.55424,1523858634,0.53629
1956860910,0.55306,1529944782,0.53534
1957535757,0.55412,1537918197,0.53412
1961392455,0.55397,1539889131,0.53433
